,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro
1,2022-07-01,A1BB34,ABB LTD,35.68,35.68,35.68,35.68,0,7130
2,2022-07-01,A1CR34,AMCOR PLC,66.25,66.25,66.25,66.25,1690,11196250
3,2022-07-01,A1EE34,AMEREN CORP,245.0,245.0,245.0,245.0,10,392000
4,2022-07-01,A1FL34,AFLAC INC,295.51,295.51,295.51,295.51,0,59100
5,2022-07-01,A1GN34,ALLEGION PLC,261.04,261.04,261.04,261.04,0,52200
6,2022-07-01,A1LB34,ALBEMARLE CO,1080.9,1085.97,1080.9,1085.97,100,11723600
7,2022-07-01,A1LL34,BREAD FINAN,49.34,49.34,49.34,49.34,0,9860
8,2022-07-01,A1LN34,ALNYLAM PHAR,39.02,39.02,39.02,39.02,100,390200
9,2022-07-01,A1MD34,ADVANCED MIC,397.6,403.91,386.79,390.0,56920,-2147483648
10,2022-07-01,A1MP34,AMERIPRISE F,315.95,315.95,315.95,315.95,20,726680
11,2022-07-01,A1MT34,APPLIED MATE,472.32,472.32,452.64,459.08,30,1462980
12,2022-07-01,A1NE34,ARISTA NETWO,123.22,123.22,123.22,123.22,80,1072010
13,2022-07-01,A1PA34,APA CORP,180.94,185.77,180.9,185.77,600,10956650
14,2022-07-01,A1RG34,ARGENX SE,78.88,78.88,78.88,78.88,0,15770
15,2022-07-01,A1SU34,ASSURANT INC,230.0,230.0,230.0,230.0,0,23000
16,2022-07-01,A1TH34,AUTOHOME INC,20.56,20.56,20.56,20.56,0,2050
17,2022-07-01,A1UA34,ANGLOGOLD AS,19.42,20.08,19.42,20.08,10,23430
18,2022-07-01,A1UT34,AUTODESK INC,233.45,233.68,229.77,230.69,50,1205560
19,2022-07-01,A1VB34,AVALONBAY CO,259.06,259.06,259.06,259.06,220,5699320
20,2022-07-01,A1ZN34,ASTRAZENECA,57.06,58.8,57.06,58.8,3700,21315840
21,2022-07-01,A2MC34,AMC ENTERT H,12.49,12.49,11.93,11.93,0,10930
22,2022-07-01,A2RE34,ARES MANAGEM,31.38,31.38,31.38,31.38,580,1842000
23,2022-07-01,A2RR34,ARROWHEAD PH,23.7,23.7,23.7,23.7,0,4740
24,2022-07-01,A2XO34,AXON ENTERPR,27.26,27.26,27.26,27.26,0,2720
25,2022-07-01,AALL34,AMERICAN AIR,69.0,70.0,67.35,70.0,1060,7353010
26,2022-07-01,AALR3,ALLIAR,19.43,19.81,19.43,19.79,243700,479775200
28,2022-07-01,AAPL34,APPLE,72.0,73.83,72.0,73.83,243070,1776303660
29,2022-07-01,ABBV34,ABBVIE,805.07,814.53,805.07,814.53,0,323740
30,2022-07-01,ABCB4,ABC BRASIL,15.43,15.94,15.27,15.73,1589200,-2147483648
34,2022-07-08,ESPA3,ESPACOLASER,2.61,2.68,2.56,2.6,2186700,570750300
40,2022-07-08,EUCA4,EUCATEX,8.29,8.32,8.25,8.25,9300,7701900
45,2022-07-08,EVEN3,EVEN,4.73,4.8,4.69,4.74,694700,329862000
47,2022-07-08,EXXO34,EXXON MOBIL,115.28,115.45,113.0,113.0,25040,285709900
48,2022-07-08,EZTC3,EZTEC,16.47,16.69,16.33,16.42,1587700,-2147483648
50,2022-07-08,F1AN34,DIAMONDBACK,303.99,306.03,303.99,306.03,190,5875360
51,2022-07-08,F1FI34,F5 INC,208.74,209.35,208.74,209.35,0,167350
52,2022-07-08,F1MC34,FMC CORP,277.53,278.09,277.53,278.09,10,305810
53,2022-07-08,F1NI34,FIDELITY NAT,31.31,31.31,30.94,30.94,5850,18109290
54,2022-07-08,F1SL34,FASTLY INC,7.39,7.39,7.15,7.15,500,366100
55,2022-07-08,F1TN34,FORTINET INC,164.12,164.12,164.12,164.12,880,14442560
56,2022-07-08,F2VR34,FIVERR INTL,10.15,10.15,10.15,10.15,0,1010
60,2022-07-08,FCXO34,FREEPORT,155.36,155.36,147.3,147.3,1850,27675430
62,2022-07-15,BEES3,BANESTES,5.03,5.09,5.01,5.01,10900,5501800
64,2022-07-15,BEES4,BANESTES,5.34,5.34,5.16,5.16,4200,2222300
66,2022-07-15,BEFV39,MSCIEAFEVALU,37.62,37.62,37.62,37.62,50880,191433130
67,2022-07-15,BEGD39,TRTMSCI EAFE,41.67,41.67,41.67,41.67,0,33330
68,2022-07-15,BEGU39,TRUSTMSCI US,46.16,46.3,46.16,46.3,2630,12180130
69,2022-07-15,BEMV39,MSCIEMMRKMI,48.4,48.4,48.4,48.4,20000,96800000
70,2022-07-15,BERK34,BERKSHIRE,74.36,75.73,74.36,74.86,37650,283154090
71,2022-07-15,BEWA39,MSCIAUSTRALI,37.61,37.81,37.61,37.81,9590,36263510
72,2022-07-15,BEWC39,MSCI CANADA,43.46,43.46,43.46,43.46,4090,17796870
73,2022-07-15,BEWG39,MSCI GERMANY,39.6,39.6,39.57,39.57,4680,18526690
74,2022-07-15,BEWH39,MSCIHONGKONG,38.1,38.22,38.1,38.22,150,577110
75,2022-07-15,BEWJ39,MSCI JAPAN,35.64,35.64,35.64,35.64,0,14250
76,2022-07-15,BEWU39,MSCI UK,52.26,52.26,52.26,52.26,1030,5398450
77,2022-07-15,BEWW39,MSCI MEXICO,61.28,61.28,61.28,61.28,3410,20920990
78,2022-07-15,BEWZ39,MSCI BRAZIL,46.19,46.41,46.19,46.41,5000,23214230
79,2022-07-15,BFNX39,GX FINTECH,23.72,23.92,23.72,23.86,0,14300
80,2022-07-15,BFXI39,CHINALARGECA,33.54,33.54,33.54,33.54,63360,212539620
81,2022-07-15,BGIP4,BANESE,17.76,17.95,17.76,17.95,600,1073200
83,2022-07-15,BGOV39,BKR US TREAS,42.9,42.9,42.9,42.9,0,4290
84,2022-07-15,BGRT39,GLOBAL REIT,43.63,43.63,43.63,43.63,70,335950
85,2022-07-15,BGWH39,COREDIVGROWT,52.08,52.18,52.0,52.18,2060,10780320
86,2022-07-15,BHER39,GX GAMES SPT,28.26,28.26,28.14,28.17,0,16910
87,2022-07-15,BIAU39,GOLD TRUST,43.95,44.1,43.57,43.79,40860,178733700
88,2022-07-15,BIBB39,ICE BIOTECH,44.24,44.24,44.2,44.2,340,1503480
90,2022-07-15,BIDU34,BAIDU INC,758.24,758.45,737.94,755.37,670,50607290
91,2022-07-15,BIEF39,COREMSCIEAFE,39.0,39.0,39.0,39.0,10,62400
92,2022-07-15,BIEM39,COREMSCI EMK,42.4,42.6,42.4,42.6,1450,6157320
95,2022-07-01,ABEV3,AMBEV S/A,13.35,13.8,13.3,13.76,17714200,-2147483648
97,2022-07-01,ABTT34,ABBOTT,144.06,146.02,144.06,146.02,0,102010
98,2022-07-01,ABUD34,AB INBEV,48.35,48.65,48.35,48.65,0,14560
100,2022-07-01,ADBE34,ADOBE INC,38.41,39.35,38.41,39.33,3730,14570280
101,2022-07-01,AERI3,AERIS,2.76,2.79,2.5,2.5,3396700,883445100
103,2022-07-01,AESB3,AES BRASIL,10.7,10.78,10.57,10.7,1187500,1267947100
106,2022-07-01,AFLT3,AFLUENTE T,9.88,9.88,9.43,9.43,400,389900
110,2022-07-01,AGRO3,BRASILAGRO,24.38,24.79,24.1,24.37,870300,2125445200
112,2022-07-01,AGXY3,AGROGALAXY,7.57,7.63,7.32,7.51,78100,58026300
116,2022-07-01,AIRB34,AIRBNB,23.65,24.2,23.41,24.18,5890,14063870
117,2022-07-01,ALLD3,ALLIED,9.9,10.07,9.63,9.65,83100,81307200
120,2022-07-01,ALPA3,ALPARGATAS,16.81,16.81,16.81,16.81,3600,6050500
122,2022-07-01,ALPA4,ALPARGATAS,19.03,19.6,18.64,19.44,3773500,-2147483648
124,2022-07-15,BIEU39,COREMSCI EUR,40.66,40.66,39.28,39.32,17080,67175300
125,2022-07-15,BIEV39,EUROPE ETF,45.04,45.04,45.04,45.04,0,18010
126,2022-07-15,BIGF39,GLOBAL INFRA,63.0,69.99,62.15,62.15,0,45330
127,2022-07-15,BIHI39,USMEDICDEVIC,7.85,7.85,7.83,7.83,186080,145702990
128,2022-07-15,BIIB34,BIOGEN,195.13,196.27,194.37,195.13,1010,19884740
129,2022-07-15,BIJH39,CORE MIDCAP,61.63,61.99,61.63,61.99,1490,9270700
130,2022-07-15,BIJR39,CORESMALLCAP,62.4,62.94,62.4,62.94,560,3530730
131,2022-07-15,BILB34,BILBAOVIZ,21.78,22.31,21.78,22.31,10,31060
132,2022-07-15,BILF39,LATIN AMER40,38.55,38.55,38.55,38.55,0,3850
134,2022-07-15,BIOM3,BIOMM,7.09,7.59,7.09,7.4,7900,5792600
137,2022-07-15,BITO39,CORE SP TOTA,46.15,46.15,46.15,46.15,4460,20605970
138,2022-07-15,BIVB39,CORE SP 500,52.09,52.4,52.02,52.26,1080,5650040
139,2022-07-15,BIVE39,SP500 VALUE,49.39,49.89,49.39,49.84,3960,19736450
140,2022-07-15,BIVW39,SP500GROWTH,42.2,42.2,42.2,42.2,1010,4262200
141,2022-07-15,BIWF39,RUSSEL1000GR,48.89,48.89,48.89,48.89,320,1569360
142,2022-07-15,BIWM39,RUSSELL 2000,46.26,46.26,46.26,46.26,10000,46260000
143,2022-07-15,BIXJ39,GLOBALHEALTH,55.62,55.67,55.45,55.45,70,404990
144,2022-07-15,BIXN39,GLOBAL TECH,8.5,8.5,8.46,8.46,50,47590
145,2022-07-15,BIYE39,BKR US ENER,65.28,65.28,65.28,65.28,5000,32640000
146,2022-07-15,BIYF39,US FINANCIAL,25.13,25.19,25.13,25.19,30,77920
147,2022-07-15,BIYW39,US TECHNOLOG,12.73,12.74,12.7,12.7,9130,11614030
148,2022-07-15,BKBR3,BK BRASIL,5.8,6.19,5.74,6.09,2020000,1216542300
150,2022-07-15,BKNG34,BOOKING,51.91,53.16,51.91,52.31,3050,16015600
151,2022-07-15,BLAK34,BLACKROCK,525.1,541.07,522.4,538.37,180,9943610
152,2022-07-15,BLAU3,BLAU,26.63,26.63,25.7,26.3,534600,1398924100
154,2022-07-15,BLBT39,GX LITHIUM B,47.95,48.15,47.85,47.93,13500,64738980
155,2022-07-08,FDMO34,FORD MOTORS,61.92,62.03,61.36,61.47,90,578290
156,2022-07-08,FDXB34,FEDEX CORP,1221.4,1223.88,1219.88,1219.88,90,11223440
158,2022-07-08,FESA4,FERBASA,45.38,45.95,44.94,44.94,130200,588845500
162,2022-07-08,FHER3,FER HERINGER,17.88,18.18,17.11,17.45,374800,657690300
167,2022-07-08,FIQE3,UNIFIQUE,3.94,4.3,3.86,4.19,299000,121854700
173,2022-07-08,FLRY3,FLEURY,16.03,16.25,15.89,15.92,2490300,-2147483648
175,2022-07-08,FLTC34,FLEETCOR TEC,290.44,291.12,290.44,291.12,0,145490
180,2022-07-08,FRAS3,FRAS-LE,9.81,9.83,9.54,9.65,131500,127020700
185,2022-07-08,FSLR34,FIRST SOLAR,188.02,191.88,188.02,191.07,200,3896990
191,2022-07-15,BLPA39,GX MLP ETF,50.5,50.5,50.45,50.45,0,15140
192,2022-07-15,BLPX39,GX MLP EN IN,51.6,51.6,51.4,51.45,0,15440
193,2022-07-15,BLUT3,B TECH EQI,1.08,1.19,1.08,1.16,178200,20527900
195,2022-07-15,BLUT4,B TECH EQI,0.5,0.52,0.49,0.5,641000,32168900
197,2022-07-15,BMEB4,MERC BRASIL,9.99,10.0,9.98,10.0,400,399500
199,2022-07-15,BMGB4,BANCO BMG,2.39,2.41,2.36,2.41,364700,87022200
201,2022-07-15,BMKS3,BIC MONARK,239.98,239.98,231.06,231.06,0,187520
203,2022-07-15,BMOB3,BEMOBI TECH,10.83,11.28,10.76,11.15,292900,324653400
205,2022-07-15,BMTU39,MSCIUSAMOM F,36.67,36.69,36.67,36.69,120,440080
206,2022-07-15,BMYB34,BRISTOLMYERS,405.2,409.6,403.2,408.4,490,20020830
207,2022-07-15,BNDA39,MSCI INDIA,54.35,54.4,54.35,54.4,77940,423639780
210,2022-07-15,BOAC34,BANK AMERICA,41.3,44.01,41.3,43.37,15500,67143340
211,2022-07-15,BOAS3,BOA VISTA,4.97,5.19,4.88,5.13,883500,448160300
213,2022-07-15,BOBR4,BOMBRIL,1.22,1.23,1.2,1.23,35700,4327900
216,2022-07-15,BOEI34,BOEING,812.8,814.4,788.8,798.4,270,21901550
217,2022-07-01,ALPK3,ESTAPAR,1.52,1.59,1.38,1.38,240400,35925900
219,2022-07-01,ALSO3,ALIANSCSONAE,16.01,16.44,15.86,16.38,1169600,1899205300
222,2022-07-01,ALUP3,ALUPAR,8.88,9.09,8.76,8.76,21100,18829200
224,2022-07-01,ALUP4,ALUPAR,8.67,8.9,8.54,8.54,28400,24940500
226,2022-07-01,ALUP11,ALUPAR,26.0,26.9,26.0,26.63,3731500,-2147483648
229,2022-07-01,AMAR3,LOJAS MARISA,1.73,1.75,1.71,1.74,2954100,511848600
233,2022-07-01,AMBP3,AMBIPAR,22.56,23.12,21.85,23.12,1042400,-2147483648
235,2022-07-01,AMER3,AMERICANAS,13.3,13.33,12.72,12.73,10346300,-2147483648
237,2022-07-01,AMGN34,AMGEN,46.32,46.6,46.32,46.6,510,2371920
238,2022-07-01,AMZO34,AMAZON,3.56,3.72,3.56,3.69,2272490,830856630
239,2022-07-01,ANIM3,ANIMA,3.92,3.94,3.76,3.9,3287700,1274322800
241,2022-07-01,APER3,ALPER S.A.,26.89,28.09,26.0,27.02,55500,151687500
245,2022-07-01,ARML3,ARMAC,11.79,12.11,11.35,11.76,384100,448637800
247,2022-07-01,ARMT34,ARCELOR,60.41,61.14,58.74,61.14,1040,6238550
253,2022-07-08,G1FI34,GOLD FIELDS,24.7,24.84,24.22,24.22,620,1505860
254,2022-07-08,G1PI34,GLOBAL PAYME,149.45,149.59,149.45,149.59,10,149570
255,2022-07-08,G1SK34,GSK PLC,44.93,44.97,44.82,44.82,4610,20680220
256,2022-07-08,G1WW34,WW GRAINGER,62.46,62.46,62.46,62.46,90,568380
257,2022-07-08,G2DD34,GODADDY INC,38.88,38.88,38.88,38.88,0,3880
258,2022-07-08,G2DI33,G2D INVEST,3.23,3.31,3.05,3.13,92720,29674460
259,2022-07-08,G2NT34,GENTEX CORP,37.91,37.91,37.91,37.91,0,3790
266,2022-07-08,GEOO34,GE,334.0,340.0,334.0,335.15,380,13119230
267,2022-07-08,GEPA3,GER PARANAP,22.61,22.64,22.61,22.64,1800,4073700
269,2022-07-08,GEPA4,GER PARANAP,24.02,24.7,24.02,24.7,700,1688200
271,2022-07-08,GETT3,GETNET BR,2.17,2.25,2.17,2.24,72400,16138200
273,2022-07-08,GETT4,GETNET BR,2.16,2.2,2.14,2.2,153600,33373600
275,2022-07-08,GETT11,GETNET BR,4.34,4.49,4.31,4.45,376000,166332900
277,2022-07-08,GFSA3,GAFISA,1.29,1.31,1.25,1.28,5817400,749172200
280,2022-07-01,ARZZ3,AREZZO CO,70.6,70.6,67.68,69.92,1313400,-2147483648
282,2022-07-01,ASAI3,ASSAI,14.16,14.83,14.06,14.6,10271400,-2147483648
285,2022-07-01,ASML34,ASML HOLD,2420.0,2420.0,2357.5,2357.5,0,1925800
288,2022-07-01,ATOM3,ATOMPAR,2.64,2.66,2.57,2.57,26400,6867400
290,2022-07-01,ATTB34,ATT INC,36.61,38.04,36.61,37.75,8540,31930210
291,2022-07-01,ATVI34,ACTIVISION,412.05,420.0,412.05,420.0,230,9637300
292,2022-07-01,AURA33,AURA 360,34.54,34.54,33.0,33.0,104310,348383040
293,2022-07-01,AURE3,AUREN,13.69,13.84,13.46,13.64,2696600,-2147483648
295,2022-07-01,AVGO34,BROADCOM INC,72.24,73.23,70.99,72.45,10590,75945110
296,2022-07-01,AXPB34,AMERICAN EXP,72.38,73.69,72.38,73.69,10,131010
297,2022-07-01,AZEV3,AZEVEDO,2.99,3.0,2.93,3.0,17500,5216000
299,2022-07-01,AZEV4,AZEVEDO,2.37,2.41,2.29,2.39,217100,51081300
301,2022-07-01,AZUL4,AZUL,12.43,12.77,12.1,12.47,12793400,-2147483648
303,2022-07-01,B1AM34,BROOKFIELD A,58.75,58.79,58.68,58.79,40,276120
304,2022-07-01,B1AX34,BAXTER INTER,173.23,173.26,173.2,173.23,10,329130
305,2022-07-01,B1CS34,BARCLAYS PLC,39.84,39.84,39.84,39.84,0,3980
306,2022-07-01,B1DX34,BECTON DICKI,266.39,266.39,266.39,266.39,0,26630
307,2022-07-01,B1GN34,BEIGENE LTD,34.5,34.5,34.5,34.5,100,345000
308,2022-07-01,B1IL34,BILIBILI INC,26.51,28.46,26.51,28.46,120,345800
309,2022-07-01,B1NT34,BIONTECH SE,98.09,104.49,98.09,104.3,48860,496967540
310,2022-07-15,BONY34,BNY MELLON,228.58,236.28,228.58,235.4,50,1169300
311,2022-07-15,BOTZ39,GX ROBOTC AI,27.63,27.75,27.63,27.75,0,16620
317,2022-07-15,BOXP34,BOSTON PROP,46.95,47.39,46.95,47.31,0,23590
318,2022-07-15,BPAC3,BTGP BANCO,12.04,12.29,12.04,12.21,4400,5368300
320,2022-07-15,BPAC5,BTGP BANCO,4.82,4.9,4.65,4.81,5300,2517200
322,2022-07-15,BPAC11,BTGP BANCO,21.48,21.81,21.26,21.6,14057200,-2147483648
324,2022-07-15,BPAN4,BANCO PAN,6.19,6.26,6.15,6.21,2737500,1699294500
330,2022-07-15,BPVE39,GX INFRA DEV,41.44,41.64,41.44,41.64,0,12470
331,2022-07-15,BQTC39,FT NASD100TC,42.19,42.19,42.19,42.19,0,12650
332,2022-07-15,BQUA39,MSCIUSQUAL F,41.23,41.23,41.23,41.23,4970,20516040
333,2022-07-15,BRAP3,BRADESPAR,20.0,20.26,19.86,19.96,73500,147251900
335,2022-07-15,BRAP4,BRADESPAR,22.26,22.43,21.91,22.24,3678200,-2147483648
338,2022-07-15,BRBI11,BR PARTNERS,13.04,13.34,12.67,13.1,120500,156874800
341,2022-07-08,GGBR3,GERDAU,18.45,18.9,18.42,18.48,41000,76361000
343,2022-07-08,GGBR4,GERDAU,23.55,24.04,23.2,23.38,12431600,-2147483648
345,2022-07-08,GGPS3,GPS,11.07,11.49,10.9,11.25,1114000,1254908400
348,2022-07-08,GILD34,GILEAD,166.49,166.49,165.09,165.09,160,2674730
349,2022-07-08,GMAT3,GRUPO MATEUS,3.64,3.77,3.63,3.77,5583500,2077641300
351,2022-07-08,GMCO34,GENERAL MOT,43.12,44.0,42.57,42.57,26170,113129520
352,2022-07-08,GOAU3,GERDAU MET,9.42,9.53,9.26,9.36,30100,28233000
354,2022-07-08,GOAU4,GERDAU MET,9.92,10.08,9.8,9.86,7796300,-2147483648
356,2022-07-08,GOGL34,ALPHABET,83.71,84.43,83.0,83.57,189350,1584602840
357,2022-07-08,GOGL35,ALPHABET,84.02,84.92,83.34,83.96,7130,60035160
359,2022-07-08,GOLL4,GOL,8.28,8.85,8.27,8.48,29810800,-2147483648
365,2022-07-08,GPIV33,GP INVEST,4.0,4.29,4.0,4.29,15120,6242750
366,2022-07-08,GPRO34,GOPRO,28.99,28.99,28.99,28.99,100,289900
367,2022-07-08,GRND3,GRENDENE,6.7,6.85,6.64,6.82,1201300,811951600
370,2022-07-08,GSGI34,GOLDMANSACHS,157.23,157.6,156.93,156.93,1810,28493340
371,2022-07-08,GSHP3,GENERALSHOPP,24.01,24.01,24.01,24.01,100,240100
372,2022-07-01,B1PP34,BP PLC,37.3,37.84,36.44,37.84,250,921060
373,2022-07-01,B1RF34,BROADRIDGE F,191.8,191.8,191.8,191.8,20,421960
374,2022-07-01,B1SA34,BANCO SANTAN,43.16,43.56,43.16,43.56,10,47870
375,2022-07-01,B1SX34,BOSTON SCIEN,197.8,200.9,197.8,200.6,20,539150
376,2022-07-01,B1TI34,BRITISH AMER,45.05,46.05,45.05,46.05,690,3169280
377,2022-07-01,B2UR34,BURLINGTONST,24.12,24.12,24.12,24.12,720,1743870
378,2022-07-01,B2YN34,BEYOND MEAT,6.54,9.25,6.47,7.5,16620,12201230
379,2022-07-01,B3SA3,B3,10.75,11.31,10.73,11.19,27211900,-2147483648
381,2022-07-01,BAAX39,MSCI ASIA JP,36.46,36.53,36.11,36.45,14470,52450750
382,2022-07-01,BABA34,ALIBABAGR,21.35,22.15,21.35,22.1,671790,1459018530
383,2022-07-01,BACW39,MSCI ACWI,44.45,44.88,44.34,44.81,611510,-2147483648
384,2022-07-01,BAER39,US AEROSPACE,25.92,26.36,25.92,26.34,850,2233300
385,2022-07-01,BAHI3,BAHEMA,11.29,11.29,10.72,11.0,1600,1758600
388,2022-07-01,BAZA3,AMAZONIA,38.09,39.0,38.09,38.91,900,3476000
390,2022-07-01,BBAS3,BRASIL,33.05,33.34,32.8,33.15,8377000,-2147483648
392,2022-07-01,BBDC3,BRADESCO,14.32,14.52,14.1,14.41,7227900,-2147483648
394,2022-07-01,BBDC4,BRADESCO,17.2,17.43,16.94,17.33,22723600,-2147483648
402,2022-07-01,BBSE3,BBSEGURIDADE,25.99,26.22,25.52,26.05,4823100,-2147483648
405,2022-07-15,BRFS3,BRF SA,16.32,16.38,15.51,15.53,7678300,-2147483648
407,2022-07-15,BRGE3,ALFA CONSORC,6.4,6.4,6.4,6.4,100,64000
408,2022-07-15,BRIT3,BRISANET,2.04,2.08,1.98,2.02,570400,116046600
410,2022-07-15,BRIV3,ALFA INVEST,5.5,5.57,5.5,5.57,200,110700
413,2022-07-15,BRKM3,BRASKEM,33.92,35.3,33.5,35.3,8300,28321700
415,2022-07-15,BRKM5,BRASKEM,33.23,34.78,32.61,34.78,2986300,-2147483648
418,2022-07-15,BRML3,BR MALLS PAR,7.57,7.61,7.43,7.57,5960300,-2147483648
420,2022-07-15,BRPR3,BR PROPERT,8.44,8.49,8.37,8.43,1261200,1062919000
422,2022-07-15,BRSR3,BANRISUL,11.2,11.36,11.2,11.21,2300,2593500
425,2022-07-15,BRSR6,BANRISUL,9.33,9.47,9.27,9.38,1432400,1344232100
428,2022-07-15,BSDV39,GX SUPERDIVD,23.94,24.1,23.94,24.08,0,14420
429,2022-07-15,BSIL39,GX SILVER MN,25.86,25.89,25.65,25.89,0,18080
431,2022-07-15,BSLI4,BRB BANCO,14.0,14.0,14.0,14.0,100,140000
433,2022-07-15,BSLV39,SILVER TRUST,31.25,31.25,30.84,31.0,270,839530
437,2022-07-08,GUAR3,GUARARAPES,7.47,7.63,7.3,7.55,1127100,845556500
440,2022-07-08,H1BI34,HANESBRANDS,57.39,57.39,57.39,57.39,16000,91824000
441,2022-07-08,H1CA34,HCA HEALTHCA,467.18,467.18,453.83,453.83,170,7765870
442,2022-07-08,H1DB34,HDFC BANK LT,63.06,63.28,63.0,63.28,130,835080
443,2022-07-08,H1OG34,HARLEY-DAVID,170.37,170.37,170.37,170.37,100,1703700
444,2022-07-08,H1RB34,HER BLOCK IN,196.65,197.98,196.65,197.98,30,672990
445,2022-07-08,H1SB34,HSBC HOLDING,41.92,41.92,41.66,41.74,400,1707210
446,2022-07-08,H1UM34,HUMANA INC,512.15,512.79,512.15,512.79,10,512660
447,2022-07-08,H1ZN34,HORIZON THER,44.15,44.16,44.15,44.16,420,1859130
448,2022-07-08,H2TA34,HEALTHC TRUS,38.3,38.3,38.1,38.1,0,11460
449,2022-07-08,H2UB34,HUBSPOT INC,32.55,32.55,32.55,32.55,0,3250
452,2022-07-08,HAGA3,HAGA S/A,2.77,2.77,2.7,2.71,5000,1364700
454,2022-07-08,HAGA4,HAGA S/A,1.31,1.33,1.26,1.28,85500,10898700
456,2022-07-08,HAPV3,HAPVIDA,6.64,6.76,6.21,6.34,40680200,-2147483648
459,2022-07-08,HBOR3,HELBOR,2.57,2.59,2.52,2.57,844300,216088500
461,2022-07-08,HBRE3,HBR REALTY,4.26,4.51,4.17,4.3,78200,33658100
464,2022-07-08,HBSA3,HIDROVIAS,2.3,2.33,2.24,2.28,3088400,704086900
466,2022-07-01,BBUG39,GX CYBERSECT,44.52,45.08,44.44,45.08,220,986640
467,2022-07-01,BBYY34,BEST BUY,350.54,350.54,350.54,350.54,10,350540
469,2022-07-01,BCHI39,MSCI CHINA,36.53,37.36,36.53,37.17,87230,323175640
470,2022-07-01,BCHQ39,GX MSCICHINA,31.41,31.53,31.41,31.53,0,12580
472,2022-07-01,BCLO39,GX CLOUD CPT,29.46,29.79,29.46,29.79,170,524520
473,2022-07-01,BCPX39,GX COPPER MN,31.65,31.65,31.56,31.56,0,6320
475,2022-07-01,BCSA34,SANTANDER,14.85,14.99,14.49,14.99,380,565240
478,2022-07-01,BDRI39,GX AEVEHICLE,38.0,38.0,37.8,37.8,0,7580
479,2022-07-01,BDVD39,GX SUPDIV US,51.59,52.23,51.59,52.23,0,10380
480,2022-07-01,BDVY39,SELECT DIVID,62.75,63.96,62.7,63.96,3010,19088090
481,2022-07-01,BEDC39,GX TLMEDC DH,31.02,31.26,31.02,31.26,0,6220
482,2022-07-01,BEEF3,MINERVA,13.2,13.8,13.11,13.76,5633500,-2147483648
484,2022-07-01,BEEM39,MSCI EMGMARK,35.27,35.34,35.03,35.24,7380,25909330
485,2022-07-01,BEES3,BANESTES,5.09,5.09,4.97,5.07,26900,13550900
487,2022-07-01,BEES4,BANESTES,5.21,5.21,5.15,5.15,2700,1400900
489,2022-07-01,BEFA39,MSCI EAFE,41.31,41.56,41.31,41.56,70000,290936560
490,2022-07-01,BEFV39,MSCIEAFEVALU,37.95,38.09,37.95,38.09,25000,95155000
491,2022-07-01,BEGE39,INC ESG AWAR,42.37,42.4,42.37,42.4,170,737490
492,2022-07-01,BEGU39,TRUSTMSCI US,45.11,45.11,45.11,45.11,740,3351670
493,2022-07-01,BERK34,BERKSHIRE,72.0,74.1,72.0,73.69,63720,464665630
494,2022-07-01,BEWA39,MSCIAUSTRALI,36.8,36.98,36.8,36.92,57500,212357570
495,2022-07-01,BEWC39,MSCI CANADA,45.22,45.22,45.22,45.22,66400,300260800
496,2022-07-15,BSOC39,GX SOCIAL MD,21.76,21.98,21.76,21.98,0,13140
497,2022-07-15,BSOX39,BKR SEMICOND,49.38,50.0,49.38,49.71,1100,5470560
504,2022-07-15,BTLT39,BKR 20YR TRS,41.8,41.8,41.8,41.8,1000,4180000
506,2022-07-15,BURA39,GX URANIUM,33.78,33.87,33.78,33.81,0,13520
507,2022-07-15,BUSM39,MSCI US MVOL,48.0,48.0,48.0,48.0,5990,28785600
508,2022-07-15,BUSR39,CORE US REIT,48.2,48.21,48.19,48.21,19970,96284990
509,2022-07-15,BVLU39,MSCIUSVALUEF,49.49,49.49,49.49,49.49,3880,19221910
510,2022-07-15,BXTC39,EXPON TECHNL,44.8,44.8,43.73,43.73,500,2217860
512,2022-07-15,C1AH34,CARDINAL HEA,296.54,296.54,296.54,296.54,40,1186160
513,2022-07-15,C1BL34,CHUBB LTD,256.75,256.75,247.5,247.5,490,12144150
514,2022-07-15,C1BS34,PARAMOUNT GL,135.2,135.2,135.01,135.01,70,1012610
515,2022-07-15,C1CL34,CARNIVAL COR,47.94,49.46,47.53,49.42,9660,46326270
516,2022-07-15,C1FI34,CF INDUSTRIE,451.0,451.0,451.0,451.0,10,676500
517,2022-07-15,C1GP34,COSTAR GROUP,3.24,3.24,3.24,3.24,30,10690
518,2022-07-15,C1HI34,CHINA PETROL,39.21,39.76,38.92,39.76,320,1281030
519,2022-07-15,C1IC34,CIGNA CORP,362.52,370.39,362.52,369.76,1790,66093210
520,2022-07-15,C1MG34,CHIPOTLE MEX,352.21,352.21,352.21,352.21,0,140880
521,2022-07-15,C1MI34,CUMMINS INC,267.45,267.5,266.03,266.03,270,7260620
522,2022-07-15,C1NS34,CELANESE COR,293.77,293.77,293.77,293.77,0,117500
523,2022-07-15,C1OU34,COUPA SOFTWA,10.55,10.8,10.55,10.71,40,42930
524,2022-07-15,C1SU34,CREDIT SUISS,13.84,14.28,13.84,14.23,100,153680
